MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,N2O
3.9,700,11.4,6.75,23.0,2,2801,240,Maize,SI,CT,NI,No,-0.21
12.0,555,8.3,8.1,25.3,2,4908,197,Maize,SI,CT,CI,Yes,0.19
12.3,555,8.9,8.1,17.8,2,3791,171,Maize,SI,CT,CI,Yes,0.44
12.3,555,8.9,8.1,17.8,2,3791,168,Maize,SI,CT,CI,Yes,0.46
8.1,430,7.8,8.4,20.8,4,4280,300,Maize,SDB,DT,NI,Yes,0.03
8.1,430,7.8,8.4,20.8,4,4220,300,Maize,SI,DT,NI,Yes,0.03
8.1,430,7.8,8.4,20.8,5,4350,300,Maize,SDB,DT,NI,Yes,0.36
8.1,430,7.8,8.4,20.8,5,4200,300,Maize,SI,DT,NI,Yes,0.67
12.5,558,10.1,4.6,23.9,6,5000,690,Wheat_maize,SM,NT,CI,Yes,0.93
12.5,558,10.1,4.6,23.9,6,5000,690,Wheat_maize,SI,CT,CI,Yes,0.63
12.5,558,10.1,4.6,23.9,7,5000,450,Wheat_maize,SI,CT,CI,Yes,0.38
12.5,558,10.1,4.6,23.9,7,5000,690,Wheat_maize,SI,CT,CI,Yes,1.04
12.5,558,10.1,4.6,23.9,6,5000,225,Maize,SI,CT,CI,Yes,-0.09
12.5,558,10.1,4.6,23.9,6,5000,345,Maize,SM,NT,CI,Yes,0.36
12.5,558,10.1,4.6,23.9,6,5000,345,Maize,SI,CT,CI,Yes,1.1
12.5,558,10.1,4.6,23.9,7,5000,225,Maize,SI,CT,CI,Yes,0.1
12.5,558,10.1,4.6,23.9,7,5000,345,Maize,SM,NT,CI,Yes,0.89
12.5,558,10.1,4.6,23.9,7,5000,345,Maize,SI,CT,CI,Yes,0.31
12.5,587,10.0,6.93,12.9,6,3322,0,Wheat_maize,SM,NT,CI,No,0.5
12.5,587,10.0,6.93,12.9,6,5246,0,Wheat_maize,SI,CT,CI,No,0.5
12.5,587,10.0,6.93,12.9,6,8128,225,Wheat_maize,SI,CT,CI,Yes,0.2
12.5,587,10.0,6.93,12.9,6,7932,345,Wheat_maize,SM,NT,CI,Yes,0.0
